fold,epoch,accuracy,avg_train_loss,avg_val_loss,time(seconds),best_score
1,1,0.833582461,0.5774,0.4927,771,0.8336
1,2,0.85426009,0.4827,0.4484,761,0.8543
1,3,0.870951669,0.4458,0.4131,759,0.871
1,4,0.875685102,0.4407,0.4002,759,0.8757
1,5,0.863976084,0.4216,0.4006,758,0.8757
2,1,0.84404584,0.5845,0.4478,761,0.844
2,2,0.845789736,0.4797,0.4503,763,0.8458
2,3,0.859990035,0.4552,0.441,760,0.86
2,4,0.861733931,0.4336,0.3887,759,0.8617
2,5,0.858495267,0.4107,0.4249,760,0.8617
3,1,0.854858856,0.5821,0.4743,759,0.8549
3,2,0.841368973,0.4759,0.4664,760,0.8568
3,3,0.859105671,0.4471,0.4271,759,0.8591
3,4,0.872595553,0.4325,0.3738,760,0.8726
3,5,0.85335998,0.4191,0.4173,759,0.8726
4,1,0.868709517,0.5933,0.4113,760,0.8687
4,2,0.887643249,0.483,0.3554,759,0.8876
4,3,0.876432486,0.4515,0.3562,759,0.8685
4,4,0.879671151,0.4389,0.3487,760,0.8675
4,5,0.87593423,0.4302,0.3719,760,0.8876
